Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-06-17,0.396,0.321,0,0,0.266,0.371,0,0,0
2018-06-18,0.34,0.22,0.211,0.443,0.34,0.325,0.349,0.314,0.282
2018-06-19,0.35,0,0.238,0,0.35,0.408,0.408,0.314,0.289
2018-06-20,0.416,0.408,0.407,0.254,0.394,0.216,0.224,0.395,0.316
2018-06-21,0.202,0.273,0.13,0.128,0.198,0.16,0.149,0.125,0.149
2018-06-22,0.103,0.065,0.063,0.094,0.095,0.137,0.122,0.048,0.054
2018-06-23,0,0,0,0,0,0,0,0.352,0.493
2018-06-24,0.338,0.252,0,0,0.329,0,0,0,0
2018-06-25,0.334,0.356,0,0,0.274,0,0,0,0
2018-06-26,0,0,0,0,0,0,0,0,0
2018-06-27,0,0,0,0,0,0,0,0,0
2018-06-28,0,0,0,0,0,0,0,0,0
2018-06-29,0,0,0,0,0,0,0,0,0
2018-06-30,0.402,0.547,0,0,0.568,0,0,0,0
2018-07-01,0.237,0.295,0,0.313,0.298,0.337,0.347,0.429,0.295
2018-07-02,0.087,0.105,0.026,0.142,0.097,0.037,0.041,0.071,0.041
2018-07-03,0.117,0.103,0.18,0.174,0.108,0.12,0.147,0.22,0.147
2018-07-04,0.232,0.166,0.184,0.264,0.216,0.19,0.321,0.334,0.174
2018-07-05,0,0,0,0,0,0,0,0,0
2018-07-06,0.481,0.59,0.491,0.53,0.54,0.466,0.381,0.488,0.432
2018-07-07,0,0,0,0,0,0,0,0,0
2018-07-08,0.081,0.164,0.092,0.15,0.081,0.135,0.132,0.058,0.24
2018-07-09,0.281,0.293,0.111,0.296,0.344,0.278,0.281,0.362,0.325
2018-07-10,0.126,0.033,0.115,0.148,0.161,0.179,0.179,0.092,0.159
2018-07-11,0.223,0.149,0.155,0.354,0.234,0.268,0.221,0.133,0.101
2018-07-12,0.158,0.1,0.209,0.179,0.158,0.184,0.176,0.152,0.176
2018-07-13,0.201,0.28,0.092,0.276,0.326,0.316,0.316,0.16,0.368
2018-07-14,0.413,0.261,0.103,0.395,0,0.312,0.384,0.265,0.263
2018-07-15,0.05,0,0.007,0.106,0.118,0.14,0.136,0.025,0.136
2018-07-16,0,0.013,0,0.055,0,0,0.006,0.013,0.021
2018-07-17,0.264,0.285,0,0.26,0.22,0.234,0.269,0.145,0.253
2018-07-18,0.557,0.337,0.4,0.169,0.407,0,0.105,0.215,0.105
2018-07-19,0.237,0.235,0,0.175,0.219,0.267,0.172,0.247,0.172
2018-07-20,0.357,0,0.452,0,0,0,0,0.405,0
2018-07-21,0,0.405,0,0,0,0,0,0,0
2018-07-22,0,0.406,0,0,0.444,0,0,0,0
2018-07-23,0.203,0.287,0.132,0.197,0.307,0.267,0.223,0.149,0.209
2018-07-24,0.161,0.276,0.133,0.294,0.251,0.281,0.281,0.331,0.341
2018-07-25,0.24,0.195,0.095,0.257,0,0.251,0.278,0.131,0.302
2018-07-26,0.225,0.216,0.244,0.21,0.203,0.211,0.182,0.185,0.182
2018-07-27,0,0,0.318,0,0,0.427,0.426,0.401,0.418
2018-07-28,0.119,0.06,0.187,0.136,0.127,0.103,0.125,0.125,0.125
2018-07-29,0.346,0,0,0,0,0,0,0,0
2018-07-30,0,0,0,0,0,0,0,0,0
2018-07-31,0,0,0,0,0,0,0,0.485,0
2018-08-01,0.216,0.195,0.119,0.192,0.232,0.169,0.208,0.165,0.168
2018-08-02,0.118,0.078,0.18,0.192,0.191,0.103,0.154,0.196,0.193
2018-08-03,0,0,0,0,0,0,0,0,0
2018-08-04,0,0,0,0,0,0,0,0,0
2018-08-05,0.299,0.102,0.105,0.281,0.3,0.253,0.218,0.188,0.269
2018-08-06,0.561,0.534,0.221,0,0.622,0,0,0.294,0
2018-08-07,0.576,0.569,0.055,0.272,0.538,0.326,0.346,0.221,0.346
2018-08-08,0.277,0.309,0.155,0.351,0.301,0.189,0.189,0.173,0.223
2018-08-09,0.183,0.227,0.172,0.18,0.168,0.175,0.195,0.196,0.195
2018-08-10,0.209,0.202,0.117,0.22,0.171,0.172,0.187,0.211,0.248
2018-08-11,0.118,0.101,0.15,0.166,0.156,0.116,0.17,0.156,0.11
2018-08-12,0.274,0.333,0.13,0.319,0.395,0.283,0.218,0.167,0.238
2018-08-13,0.253,0.315,0,0.327,0.28,0.301,0.293,0.377,0.301
2018-08-14,0.321,0.213,0.169,0.367,0.321,0.365,0.164,0.2,0.235
2018-08-15,0,0,0.219,0,0,0,0,0,0
2018-08-16,0.093,0.199,0.141,0.312,0.2,0.224,0.248,0.136,0.158
2018-08-17,0.216,0.238,0.15,0,0.264,0.221,0.287,0.211,0.36
2018-08-18,0.079,0.095,0.1,0.111,0.135,0.089,0.116,0.071,0.118
2018-08-19,0.136,0.254,0.12,0.283,0.21,0.348,0.318,0.067,0.138
2018-08-20,0.18,0.158,0.251,0.258,0.197,0.204,0.204,0.232,0.232
2018-08-21,0.259,0.257,0.12,0.318,0.165,0.2,0.269,0.166,0.269
2018-08-22,0,0.5,0.284,0.396,0,0.38,0.371,0.248,0.371
2018-08-23,0.338,0.295,0.187,0.233,0.388,0.244,0.276,0.129,0.275
2018-08-24,0.071,0.12,0.063,0.169,0.082,0.081,0.119,0.067,0.137
2018-08-25,0.064,0.101,0.018,0.098,0.146,0.077,0.139,0.019,0.047
2018-08-26,0.219,0.303,0.166,0.229,0.259,0.207,0.27,0.162,0.258
2018-08-27,0.425,0.293,0.497,0.476,0.296,0.283,0.283,0.476,0.476
2018-08-28,0.171,0.133,0.024,0,0.134,0.186,0.326,0.08,0.18
2018-08-29,0.141,0.178,0.252,0.202,0.141,0.169,0.176,0.212,0.177
2018-08-30,0.168,0.09,0.083,0.17,0.126,0.129,0.159,0.093,0.129
2018-08-31,0,0,0,0,0,0,0,0,0
2018-09-01,0.1,0.347,0.244,0.179,0.192,0.168,0.244,0.231,0.244
2018-09-02,0.377,0.27,0.236,0,0,0.385,0.385,0.36,0.385
2018-09-03,0.197,0.221,0.16,0.279,0.269,0.137,0.306,0.214,0.276
2018-09-04,0.449,0.232,0,0,0.43,0,0,0,0
2018-09-05,0.598,0.539,0.543,0,0.496,0.43,0.507,0.507,0.565
2018-09-06,0.216,0.168,0,0.15,0.21,0.14,0.125,0.051,0.189
2018-09-07,0,0,0,0,0,0,0,0,0
2018-09-08,0.553,0.272,0.11,0,0.255,0.297,0.274,0.344,0
2018-09-09,0.374,0.45,0.427,0,0.379,0.474,0,0,0
2018-09-10,0.239,0.207,0.232,0.353,0.202,0.234,0.341,0.393,0.341
2018-09-11,0,0,0.396,0.481,0,0,0,0,0
2018-09-12,0,0,0,0,0,0,0,0,0
2018-09-13,0.392,0.357,0.349,0,0.392,0.411,0.407,0.201,0.368
2018-09-14,0,0,0,0,0,0,0,0,0
2018-09-15,0,0,0,0,0,0,0,0,0
2018-09-16,0,0,0,0,0,0,0,0,0
2018-09-17,0.303,0.135,0.088,0.192,0.213,0.107,0.112,0.144,0.092
2018-09-18,0.154,0.2,0.123,0.281,0.206,0.208,0.192,0.176,0.116
2018-09-19,0.165,0.205,0.126,0.303,0.323,0.183,0.197,0.162,0.216
2018-09-20,0.112,0.138,0.019,0.216,0.062,0.074,0.088,0.033,0.085
2018-09-21,0.287,0.353,0,0.551,0.373,0.536,0.403,0,0.403
2018-09-22,0.14,0.32,0.289,0.322,0.241,0.294,0.247,0.123,0.264
2018-09-23,0,0,0.552,0,0,0,0,0,0
2018-09-24,0.459,0.262,0.232,0.261,0.459,0.362,0.362,0.262,0.212
2018-09-25,0.443,0.345,0.18,0.382,0.379,0.324,0,0.248,0
2018-09-26,0.499,0.53,0,0.353,0.499,0.408,0.541,0.422,0.566
2018-09-27,0.41,0.539,0.242,0.365,0.563,0.554,0.338,0.341,0.341
2018-09-28,0.107,0.104,0.093,0.093,0.107,0.098,0.098,0.089,0.108
2018-09-29,0.133,0.176,0.059,0.226,0.03,0.149,0.143,0.04,0.144
2018-09-30,0,0,0,0,0,0,0,0,0
2018-10-01,0.309,0.319,0.502,0.405,0.383,0.284,0.344,0.334,0.374
2018-10-02,0.581,0.434,0,0,0.527,0,0,0,0
2018-10-03,0.358,0.291,0.272,0.26,0.358,0.163,0.218,0.19,0.216
2018-10-04,0.537,0.33,0.361,0.487,0.441,0.458,0.515,0.354,0.432
2018-10-05,0.235,0.321,0.428,0.362,0.235,0.24,0.275,0.462,0.353
2018-10-06,0,0.534,0.473,0,0,0,0,0.339,0
2018-10-07,0,0,0,0,0,0,0,0,0
2018-10-08,0,0,0,0,0,0,0,0,0
2018-10-09,0,0,0,0,0,0,0,0,0
2018-10-10,0,0,0,0,0,0,0,0,0
2018-10-11,0,0,0,0,0,0,0,0,0
2018-10-12,0.179,0.181,0.243,0.249,0.147,0.259,0.3,0.353,0.302
2018-10-13,0.004,0.32,0,0,0.004,0,0,0.529,0.588
2018-10-14,0.372,0.317,0.333,0,0.368,0.333,0.294,0.411,0.368
2018-10-15,0.271,0.41,0.15,0.127,0.244,0.237,0.172,0.102,0.128
2018-10-16,0.366,0.404,0.492,0.492,0.229,0.388,0.373,0.482,0.373
2018-10-17,0.346,0.335,0.202,0.538,0.404,0.333,0.274,0.298,0.274
2018-10-18,0,0,0,0,0,0,0,0,0
2018-10-19,0.457,0.192,0.168,0.3,0.194,0.197,0.194,0.202,0.195
2018-10-20,0,0,0,0,0,0,0,0,0
2018-10-21,0.513,0.39,0.483,0.474,0.419,0.459,0.49,0.467,0.49
2018-10-22,0.303,0.221,0.383,0.553,0.328,0.392,0.618,0.513,0.56
2018-10-23,0,0,0,0.446,0,0,0,0,0
2018-10-24,0.117,0.109,0.026,0.1,0.172,0.067,0.096,0.017,0.019
2018-10-25,0,0,0,0,0,0,0,0,0
2018-10-26,0.564,0.439,0.447,0,0.564,0.447,0,0,0
2018-10-27,0,0,0,0,0,0,0,0,0
2018-10-28,0.374,0.349,0.255,0.281,0.268,0.257,0.367,0.305,0.367
2018-10-29,0,0,0.456,0.363,0,0.514,0,0.378,0.572
2018-10-30,0.224,0.121,0.222,0.239,0.209,0.169,0.22,0.234,0.2
2018-10-31,0.427,0.307,0.515,0.598,0.495,0,0,0.556,0.682
2018-11-01,0,0,0,0,0,0,0,0,0
2018-11-02,0.309,0.278,0.224,0.293,0.381,0.214,0.122,0.293,0.279
2018-11-03,0,0,0,0,0,0,0,0,0
2018-11-04,0,0,0,0,0,0,0,0,0
2018-11-05,0,0,0,0,0,0,0,0,0
2018-11-06,0.273,0.19,0.245,0.362,0.233,0.329,0.329,0.379,0.329
2018-11-07,0.372,0.4,0.235,0.27,0.333,0.26,0.26,0.288,0.251
2018-11-08,0,0,0,0,0,0,0,0,0
2018-11-09,0.464,0.458,0.287,0,0,0.348,0.468,0,0
2018-11-10,0,0,0,0,0,0,0,0,0
2018-11-11,0.576,0.55,0.488,0.526,0.457,0.534,0.541,0.582,0.579
2018-11-12,0,0,0,0,0,0,0,0.55,0
2018-11-13,0.548,0.58,0,0.508,0.531,0,0,0,0
2018-11-14,0.498,0.596,0,0,0.46,0.514,0,0,0
2018-11-15,0.579,0.576,0,0,0.579,0.588,0,0,0
2018-11-16,0,0,0.598,0,0,0,0,0,0
2018-11-17,0,0,0,0,0,0,0,0,0
2018-11-18,0.476,0.319,0.413,0.369,0.497,0.309,0.49,0.403,0.39
2018-11-19,0,0,0,0,0,0,0,0,0
2018-11-20,0,0,0,0,0,0,0,0,0
2018-11-21,0,0.552,0.548,0,0,0,0.584,0.546,0.571
2018-11-22,0.409,0.376,0.427,0.532,0.409,0.469,0.469,0.452,0.444
2018-11-23,0.371,0.276,0.357,0.442,0.296,0.478,0.478,0.404,0.46
2018-11-24,0,0,0,0,0,0,0,0,0
2018-11-25,0.43,0.486,0.559,0,0.506,0.53,0,0,0.575
2018-11-26,0,0,0,0,0,0,0,0,0
2018-11-27,0,0,0,0,0,0,0,0,0
2018-11-28,0.328,0.285,0.262,0,0.411,0.445,0.367,0.37,0.367
2018-11-29,0,0,0,0,0,0,0,0,0
2018-11-30,0,0,0,0,0,0,0,0,0
2018-12-01,0.25,0.165,0.241,0.245,0.251,0.222,0.282,0.265,0.292
2018-12-02,0.267,0.155,0.397,0.313,0.418,0.38,0.374,0.322,0.368
2018-12-03,0,0,0,0,0,0,0,0,0
2018-12-04,0.371,0.387,0.531,0.412,0,0.504,0.516,0.386,0.446
2018-12-05,0,0,0,0,0,0,0,0,0
2018-12-06,0.369,0.135,0.295,0.261,0.275,0.281,0.305,0.414,0.242
2018-12-07,0.555,0.582,0.454,0.52,0,0.525,0,0.434,0
2018-12-08,0,0,0,0,0,0,0,0,0
2018-12-09,0.273,0.157,0.304,0,0.327,0.193,0.319,0.307,0.319
2018-12-10,0.538,0.478,0,0,0.538,0.489,0.489,0.562,0.538
2018-12-11,0,0,0,0,0,0,0,0,0
2018-12-12,0,0,0,0,0,0,0,0,0
2018-12-13,0.378,0,0,0,0,0,0,0,0
2018-12-14,0,0,0.418,0,0,0,0,0.527,0.527
2018-12-15,0.292,0.24,0.338,0,0.304,0.325,0.325,0.313,0
2018-12-16,0.205,0.18,0.085,0.264,0.235,0.246,0.216,0.158,0.216
2018-12-17,0.526,0.544,0,0.443,0.526,0,0.527,0.465,0.517
2018-12-18,0,0,0,0,0,0,0,0,0
2018-12-19,0,0,0,0,0,0,0,0,0
2018-12-20,0,0,0,0,0,0,0,0,0
2018-12-21,0,0,0,0,0,0,0,0,0
2018-12-22,0,0,0,0.285,0,0,0.259,0.456,0.438
2018-12-23,0.166,0.111,0.151,0.239,0.191,0.233,0.181,0.133,0.181
2018-12-24,0.41,0.288,0.41,0,0.407,0.383,0,0,0
2018-12-25,0.384,0.269,0.31,0,0.299,0.364,0.382,0.334,0.36
2018-12-26,0.246,0.176,0,0.309,0.242,0.215,0.336,0.304,0.285
2018-12-27,0.277,0.322,0,0,0,0,0,0,0
2018-12-28,0,0,0.348,0,0,0,0,0.34,0
2018-12-29,0.323,0.272,0.26,0.243,0.268,0.451,0.235,0.355,0.37
2018-12-30,0.356,0.278,0.217,0.295,0.353,0.285,0.292,0.208,0.292
2019-01-01,0.111,0.176,0.067,0.152,0.17,0.186,0.19,0.082,0.186
2019-01-02,0.183,0.107,0.146,0.169,0.212,0.154,0.178,0.213,0.196
2019-01-03,0.406,0.271,0.246,0.344,0.406,0.148,0.345,0.304,0.318
2019-01-04,0,0,0,0,0,0,0,0,0
2019-01-05,0.422,0.272,0.239,0.394,0.178,0.447,0.447,0.291,0.473
2019-01-06,0,0,0,0,0,0,0,0,0
2019-01-07,0,0.422,0.378,0,0,0.512,0,0,0.515
2019-01-08,0,0,0,0,0,0,0,0,0
2019-01-09,0,0.349,0.427,0,0,0,0,0.43,0.43
2019-01-10,0,0.333,0,0,0,0,0,0,0
2019-01-11,0,0,0,0,0,0,0,0,0
2019-01-12,0.349,0.227,0.249,0.342,0.349,0.364,0.364,0.291,0.364
2019-01-13,0,0,0,0,0,0,0,0,0
2019-01-14,0.382,0.522,0.331,0.363,0.429,0.347,0.352,0.437,0.344
2019-01-15,0,0,0.435,0,0,0.489,0.478,0.497,0.478
2019-01-16,0,0,0,0,0,0,0,0,0
2019-01-17,0,0,0,0,0,0,0,0,0
2019-01-18,0.429,0.392,0.471,0.372,0.413,0.326,0.45,0.357,0.425
2019-01-19,0,0,0.547,0,0,0,0,0,0
2019-01-20,0,0,0,0,0,0,0,0,0
2019-01-21,0.33,0.237,0.135,0.293,0.361,0.351,0.427,0.364,0.427
2019-01-22,0,0.549,0.264,0.332,0,0.331,0.254,0.268,0.216
2019-01-23,0.253,0.176,0.161,0.159,0.175,0.216,0.173,0.194,0.17
2019-01-24,0.195,0.234,0.18,0.262,0.209,0.228,0.382,0.252,0.334
2019-01-25,0.245,0.202,0.187,0.283,0.204,0.214,0.214,0.293,0.214
2019-01-26,0.2,0.144,0.136,0.222,0.229,0.246,0.227,0.164,0.215
2019-01-27,0.292,0.241,0.358,0.316,0.34,0.302,0.338,0.341,0.338
2019-01-28,0,0.589,0.552,0,0,0,0,0.53,0
2019-01-29,0,0,0,0,0,0,0,0,0
2019-01-30,0.569,0.543,0.373,0.46,0,0.44,0.44,0.445,0.44
2019-01-31,0,0,0,0,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0,0,0
