Fecha,NO2,O3,PM25,PRE,RS,TMP,VEL,CO,DIR,HUM,LLU,AOD
2021-02-14,11.28,27.15,15.7,770.94,247.4,16.72,1.1,0.45,95.0,74.88,17.6,0.5866
2021-02-16,5.12,29.05,5.98,771.72,272.08,17.13,1.69,0.3,119.22,71.94,3.3,0.56504
2021-02-20,10.74,22.16,7.86,771.37,222.55,16.01,1.04,0.42,141.19,78.77,6.8,0.5485599999999999
2021-03-06,13.17,28.39,12.68,769.57,290.67,16.57,1.21,0.35,131.04,75.04,0.0,0.34713
2021-03-26,21.13,21.22,19.91,770.42,225.75,15.97,0.86,0.82,125.06,79.77,35.4,0.44089
2021-04-01,10.49,23.64,10.74,768.49,258.5,17.6,1.42,0.58,124.7,73.02,0.0,0.5516
2021-04-21,15.89,25.71,7.92,771.67,231.05,15.84,1.06,0.56,146.25,80.32,10.3,0.32356
2021-04-23,18.04,20.04,14.25,770.69,252.66,16.81,1.27,0.63,139.63,75.05,2.2,0.52085
2021-04-25,4.22,29.79,12.39,770.43,204.13,17.05,1.68,0.42,100.66,75.85,0.0,0.54812
2021-04-27,16.87,20.63,8.95,771.12,192.09,15.76,0.99,0.64,174.64,81.59,1.9,0.45059
2021-05-07,13.34,23.66,11.08,771.89,258.41,16.49,1.14,0.44,85.27,76.55,0.0,0.46204
2021-05-09,4.69,20.48,8.59,770.43,252.06,17.19,1.2,0.29,83.53,75.83,0.0,0.29272000000000004
2021-05-13,8.83,17.66,10.72,770.18,279.11,17.54,1.47,0.41,116.16,71.28,0.0,0.21892
2021-05-21,9.66,21.24,11.57,770.18,248.45,18.41,1.4,0.45,124.5,70.62,0.4,0.21797
2021-05-23,4.83,25.55,5.67,770.65,170.33,17.2,1.32,0.37,104.38,76.33,0.0,0.38010000000000005
2021-05-27,7.51,22.61,9.95,771.84,215.2,17.34,1.58,0.44,80.0,74.81,0.0,0.3526
2021-05-29,16.65,19.78,12.39,771.18,197.27,16.16,0.91,0.65,148.55,77.33,17.0,0.18056
2021-06-10,9.17,24.14,15.53,772.05,255.26,16.87,1.78,0.4,74.58,71.75,0.0,0.24183000000000002
2021-06-12,14.13,24.99,17.61,770.94,274.35,17.18,1.33,0.56,111.21,72.74,5.6,0.26677999999999996
2021-06-16,11.18,21.8,13.14,771.57,242.72,16.48,1.28,0.57,83.46,76.3,0.0,0.57876
2021-06-20,9.36,18.28,11.02,772.17,161.26,16.33,1.23,0.48,69.56,73.83,2.5,0.31373
2021-06-22,11.08,22.01,10.41,772.28,229.44,15.6,1.37,0.54,107.72,71.39,0.0,0.29847
2021-06-28,16.02,15.1,13.89,771.76,184.53,15.95,0.92,0.59,130.64,68.8,0.0,0.41500000000000004
2021-06-30,12.33,18.79,11.33,770.66,200.55,16.6,1.54,0.46,130.94,67.86,0.0,0.31788
2021-07-06,17.34,15.29,9.93,771.31,274.31,17.24,1.33,0.57,112.31,50.83,0.0,0.19679
2021-07-10,14.02,21.87,12.88,770.63,191.76,15.81,1.02,0.68,115.59,71.77,0.0,0.52879
2021-07-14,13.12,20.93,12.55,771.39,252.83,16.37,1.47,0.4,99.76,69.23,0.0,0.29162
2021-07-16,13.11,19.88,14.58,771.02,187.56,16.15,1.56,0.44,72.48,70.78,0.0,0.27663
2021-07-18,12.62,15.79,10.63,771.26,206.24,16.64,1.18,0.49,98.25,69.11,1.2,0.45695
2021-07-28,17.31,19.57,13.26,770.67,239.26,17.54,1.03,0.56,162.65,65.29,0.0,0.3029
2021-08-01,9.09,21.8,6.39,772.28,288.45,17.28,1.72,0.35,126.5,49.43,0.0,0.248
2021-08-03,15.73,27.15,7.55,772.11,298.53,17.12,2.04,0.42,129.69,44.66,0.0,0.22505000000000003
2021-08-07,14.07,24.56,18.14,772.1,273.4,16.39,1.66,0.58,114.65,64.01,0.0,0.45132
2021-08-13,13.62,29.47,11.34,772.76,186.22,16.36,1.37,0.44,100.54,71.14,0.6,0.39638
2021-08-15,8.35,34.47,12.38,771.55,233.16,16.69,1.61,0.41,112.71,73.13,0.0,0.43472000000000005
2021-08-17,11.17,27.57,10.37,771.25,176.95,16.34,1.46,0.45,75.68,74.33,0.0,0.5710000000000001
