Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2020-06-29,19.93,10.92,763.91,229.68,15.47,1.49,154.39,77.91,0.0,0.31545999999999996
2020-06-30,22.05,10.61,763.82,234.17,15.6,1.63,171.5,77.23,0.0,0.44256
2020-07-09,19.89,12.94,763.96,212.23,15.62,1.08,104.86,77.81,0.0,0.26525
2020-07-15,25.12,9.25,764.05,208.28,15.96,1.03,146.77,62.79,0.4,0.22458000000000003
2020-07-16,28.18,11.65,764.04,220.08,16.31,1.08,170.31,57.48,0.0,0.06648000000000001
2020-07-18,35.51,7.9,763.65,296.52,16.53,1.63,100.03,56.04,0.0,0.23403000000000002
2020-07-21,23.31,9.31,764.21,215.96,14.65,1.4,59.28,83.06,0.0,0.38786000000000004
2020-07-24,22.26,9.09,764.84,212.91,14.41,1.5,159.93,85.5,7.2,0.45307000000000003
2020-07-25,18.46,10.83,764.4,232.03,14.52,1.63,139.3,85.9,0.0,0.27656000000000003
2020-07-27,17.16,9.24,765.01,230.11,15.08,1.32,78.95,82.64,0.0,0.39606
2020-07-28,17.34,17.0,764.53,198.44,15.21,0.96,133.97,71.41,0.0,0.24789
2020-08-03,25.07,13.46,765.28,296.57,16.63,1.34,121.47,55.02,0.0,0.32280000000000003
2020-08-04,30.6,17.43,765.38,307.65,16.61,1.39,143.79,53.23,0.0,0.34823000000000004
2020-08-05,26.69,19.21,764.5,182.2,15.23,1.2,94.02,64.0,0.0,0.34718
2020-08-07,22.24,14.8,763.9,281.06,16.93,1.59,114.16,58.49,0.0,0.23905
2020-08-08,24.5,17.68,764.16,308.56,17.08,1.66,113.94,55.26,0.0,0.18497
2020-08-09,24.18,14.47,764.38,310.25,16.86,1.43,166.53,60.07,0.0,0.13003
2020-08-12,24.46,15.09,762.64,299.55,16.3,1.52,160.99,71.2,0.0,0.26594
2020-08-13,23.23,15.89,762.4,289.38,15.4,1.88,156.43,74.32,0.0,0.22734000000000001
2020-08-15,23.65,15.99,762.96,279.31,15.15,1.68,71.07,79.69,0.0,0.43657
2020-08-16,27.24,10.6,763.9,235.36,15.55,1.5,118.24,72.08,0.0,0.44414
2020-08-17,27.67,10.09,764.62,288.81,15.23,1.86,211.82,75.16,0.0,0.18055000000000002
2020-08-23,21.99,12.08,764.09,304.62,14.74,1.77,132.36,81.85,0.0,0.23328000000000002
2020-08-24,23.17,14.14,763.72,311.67,14.67,1.8,191.21,76.84,0.0,0.11558
2020-08-26,22.85,13.79,764.08,315.35,15.02,1.72,170.6,73.56,0.0,0.14212
2020-08-28,19.87,7.31,765.39,202.67,14.22,1.52,97.67,87.13,1.9,0.387
2020-08-30,26.13,10.01,764.67,291.0,15.06,1.23,149.14,79.24,5.9,0.16775
2020-08-31,31.36,11.52,764.43,294.37,15.5,1.42,180.56,73.98,0.0,0.10484
2020-09-04,24.74,14.3,763.34,285.55,15.93,1.22,104.22,76.23,0.0,0.36033
2020-09-07,27.13,11.59,763.22,305.77,14.41,1.95,141.22,81.69,0.0,0.47109
2020-09-08,30.22,7.88,763.73,221.06,14.46,1.7,168.64,80.47,0.0,0.39238
2020-09-11,31.44,16.87,763.78,262.1,16.08,1.44,146.24,65.29,0.0,0.32433
2020-09-13,34.3,8.73,763.53,271.34,17.21,1.47,118.19,52.02,0.0,0.25610000000000005
2020-09-14,35.36,12.9,764.96,287.8,17.18,1.4,136.35,55.76,0.0,0.35775
2020-09-17,31.62,16.2,764.78,262.86,14.49,1.34,155.5,82.57,10.6,0.19990000000000002
2020-09-18,26.29,18.19,764.73,252.18,15.05,1.44,149.62,80.98,0.2,0.45747000000000004
2020-09-20,29.17,12.24,763.74,266.18,16.22,1.3,136.18,74.99,0.0,0.31355
2020-09-22,30.51,11.96,763.74,329.66,16.22,1.57,133.58,73.39,0.0,0.21778999999999998
2020-09-24,29.67,14.51,765.11,214.35,15.57,1.51,70.6,73.94,0.6,0.553
2020-09-26,31.19,15.58,765.18,324.01,14.92,1.62,198.79,73.36,0.0,0.26563
2020-09-27,32.99,15.15,763.54,288.17,15.82,1.79,127.91,75.03,0.0,0.17929
2020-09-29,27.13,12.33,763.04,310.8,15.73,1.41,138.38,76.33,9.6,0.37828
2020-10-01,30.37,12.64,763.15,287.51,16.11,1.44,85.54,66.65,0.0,0.40863
2020-10-02,26.68,13.87,762.83,304.56,14.64,1.47,187.47,70.4,0.0,0.11487000000000001
2020-10-06,33.64,10.68,763.43,311.71,15.74,1.56,182.18,65.08,0.0,0.38168
2020-10-09,55.74,10.28,764.66,309.17,18.08,1.31,106.14,46.92,0.0,0.32368
2020-10-10,54.81,10.03,764.19,337.95,17.87,1.64,145.6,41.61,0.0,0.1447
2020-10-12,40.61,11.48,763.13,286.34,15.39,1.5,131.7,73.43,0.0,0.23700000000000002
2020-10-13,39.21,16.82,763.57,222.02,15.32,1.5,176.12,70.1,0.0,0.5521900000000001
2020-10-17,25.26,11.48,762.74,279.93,16.19,1.79,157.05,74.23,0.0,0.36863
2020-10-18,30.81,7.33,763.09,219.69,15.83,1.58,153.76,80.73,0.1,0.483
2020-10-19,30.82,8.23,763.26,266.84,15.17,1.4,102.91,83.94,28.6,0.28288
2020-10-20,30.72,16.1,763.32,326.87,14.94,1.72,137.65,83.34,0.6,0.31883999999999996
2020-10-24,29.51,14.48,764.97,273.53,14.76,1.72,119.47,82.06,0.1,0.47132999999999997
2020-10-26,33.4,9.13,763.84,331.37,16.83,1.77,122.57,75.03,4.4,0.24414
2020-10-29,34.48,17.14,763.76,305.56,15.87,2.04,163.27,79.12,0.0,0.34426
2020-10-30,26.91,11.88,764.61,228.59,15.38,1.8,134.03,78.68,0.0,0.28382999999999997
2020-11-01,28.16,11.16,764.64,303.77,14.9,1.85,146.92,79.23,0.0,0.19982
2020-11-02,25.22,14.81,764.36,303.7,14.6,1.73,201.38,72.43,0.0,0.24014
2020-11-03,26.08,15.98,764.44,330.79,14.25,1.64,174.39,64.24,0.0,0.12102
2020-11-04,31.91,23.79,764.64,329.86,15.07,1.63,184.03,58.32,0.0,0.16556
2020-11-05,31.47,24.95,764.0,256.32,15.65,1.72,214.91,58.99,0.0,0.50016
2020-11-07,33.94,21.8,763.41,229.09,16.21,1.47,141.45,60.04,0.0,0.5186900000000001
2020-11-09,33.35,20.36,764.61,290.22,15.23,1.68,185.24,69.67,0.0,0.30954000000000004
2020-11-10,35.42,24.55,764.76,293.32,15.23,1.65,169.15,69.74,0.0,0.31945
2020-11-13,40.21,28.49,765.15,253.23,15.1,1.95,199.05,62.31,0.0,0.28013
