Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-03-11,6.476,13.3,18.6,49.3,15.2,16.20416667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-12,4.35,17.9,36.2,25.3,3.8,14.59166667,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-03-13,0,13.5,30.5,,16.8,13.4375,,Deseable,Deseable,Aceptable,Incorrecto,Deseable
2018-03-14,6.301,13.3,48.1,22.2,29.2,21.85,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-03-15,0,15.9,23.5,24.1,26.5,21.6625,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-16,0,20.9,26.2,13.2,15.6,17.6,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-17,0,7.2,9,11.8,18,14.14166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-18,6.721,2.5,11.6,16,3.8,11.75,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-19,0,-4.4,7.5,-4,17.6,6.070833333,,Deseable,Incorrecto,Deseable,Incorrecto,Deseable
2018-03-20,8.56,7.3,11.7,16.4,16.9,11.8375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-21,4.484,5.2,26.1,16.6,11.8,13.58333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-22,0,12.9,36.9,19.2,19.9,17.05,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-23,0,1.5,21.8,14,4.3,13.35833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-24,0,13.6,28.5,-8.9,11.1,16.84166667,,Deseable,Deseable,Aceptable,Incorrecto,Deseable
2018-03-25,5.957,10.8,13.9,7,6.6,12.49166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-26,1.175,15.4,13.7,16.2,3.9,15.075,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-27,0,2.3,24.3,5.2,7.9,12.48333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-28,1.511,3.7,10.6,1.4,6.6,8.508333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-29,0,2.5,10.3,4,8.6,7.3625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-30,0.502,7,14.3,11.4,15.3,8.845833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-31,0,-1.6,-0.8,-2.2,8.6,3.495833333,,Deseable,Incorrecto,Incorrecto,Incorrecto,Deseable
2018-04-01,0.15,-0.4,8.2,2.3,7.5,4.729166667,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-04-02,0,-3.1,1.9,12.4,20.5,6.791666667,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-04-03,1.128,6.8,28.9,-3.2,11.3,10.3625,,Deseable,Deseable,Aceptable,Incorrecto,Deseable
2018-04-04,0,3.8,5.8,3.1,13,6.704166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-05,0,13,23.5,2,0.2,9.9125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-06,0,-2.9,5.1,9.3,16.9,5.918181818,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-04-07,0,7.3,27.8,6.9,12.7,13.95,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-08,1.821,11,11.9,6.5,8.2,11.7125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-09,0,9,27.5,13.3,14.6,16.34166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-10,0,-1.7,-11.3,17.9,10.5,4.495833333,,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2018-04-11,0,5.9,17.7,16.5,18.9,13.5125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-12,2.691,14.9,35.8,14.1,9.9,16.79166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-13,0,14.3,24.8,24.1,11.7,17.4125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-14,0,16.5,17.1,9.2,16.7,15.62916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-15,0.253,30.6,16.7,21.4,17.4,15.97083333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-04-16,0,4.1,25.9,19.6,17.1,12.27083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-17,1.998,1.7,16.9,15.8,20.4,10.14166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-18,2.045,11.3,31.9,23,9.4,13.17916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-19,1.376,8,22.9,10.6,6.7,12.625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-20,0.098,2.2,26.6,14.4,10.6,9.973684211,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-21,3.016,16.2,23.6,6.7,18.8,11.56666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-22,2.041,-3.1,10,24.3,24.2,10.64583333,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-04-23,0,17.5,18.5,22.4,16.4,13.9625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-24,2.977,5.9,24.7,26,20.5,16.35,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-25,0,16,15.9,12.7,12.3,13.80416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-26,0,11.9,19.8,26.9,13.3,13.45416667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-27,1.272,16.6,24.5,25.5,13.2,18.2625,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-28,0,6.9,12.3,15.6,6.7,8.9,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-29,0,17.5,17.7,13.7,0.3,15.44583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-30,0,17.3,17,15.9,9.2,14.37916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-01,0,18.2,19.3,10.6,11.9,13.57916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-02,0,5.9,36.6,,,13.51666667,,Deseable,Deseable,Aceptable,Incorrecto,Incorrecto
2018-05-03,3.571,,,26.4,5.1,19.32857143,,Deseable,Incorrecto,Incorrecto,Aceptable,Deseable
2018-05-04,1.669,0.2,21.8,24.4,16.4,11.69166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-05,2.06,0.7,17.4,18.7,17.1,9.5,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-06,0.638,11.8,2.3,7.8,11.9,10.12083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-07,0,-1.8,9.4,6.1,-8,5.683333333,,Deseable,Incorrecto,Deseable,Deseable,Incorrecto
2018-05-08,0,12.9,29.5,20.9,2.3,16.0625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-09,0,3.2,21.6,0.5,-2.3,3.552380952,,Deseable,Deseable,Deseable,Deseable,Incorrecto
2018-05-10,0.069,3.7,34.2,0,-4.5,11.28333333,,Deseable,Deseable,Aceptable,Deseable,Incorrecto
2018-05-11,0,12.3,34.2,15.5,23.7,14.12083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-12,0,11.1,28.3,11.7,1.1,18.55,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-13,0,5.5,1.7,9.6,4.1,3.841666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-14,0.888,4.7,25.6,7.3,6.1,9.020833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-15,2.511,-0.3,8.1,-3.2,7.8,8.066666667,,Deseable,Incorrecto,Deseable,Incorrecto,Deseable
2018-05-16,0,6.9,-5.1,16.1,19.7,7.091666667,,Deseable,Deseable,Incorrecto,Deseable,Deseable
2018-05-17,0.168,9.8,13.9,17.8,6.4,11.8625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-18,0,2,15.8,12.6,19.8,8.579166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-19,1.828,10.2,22.6,9.5,9.6,11.54166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-20,0,6.2,14.4,9.6,12.4,12.30416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-21,1.02,7.2,-1.7,11.8,8.9,6.8,,Deseable,Deseable,Incorrecto,Deseable,Deseable
2018-05-22,2.031,-4.8,27.9,17.7,18.4,14.92916667,,Deseable,Incorrecto,Aceptable,Deseable,Deseable
2018-05-23,0,4.6,8.4,14.8,3.8,10.6875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-24,0.119,14.2,24.3,13.3,2.9,10.64583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-25,0,8,13,22.1,17.7,10.26666667,,Deseable,Deseable,Deseable,Deseable,Deseable
