Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-03-16,0,23.08,44.08,19.52,17.33,24.81916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-17,0,18.28,21.83,27.7,19.15,21.17416667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-18,0.492,24.72,17.3,20.09,14.71,19.39125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-19,0,6.19,13.63,26.69,28.65,15.4525,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-03-20,1.522,22.65,40.22,10.45,23.71,27.79791667,,Aceptable,Deseable,Aceptable,Deseable,Deseable
2018-03-21,1.845,21.37,38.67,10.4,16.66,22.02090909,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-22,0,16.35,13.67,5.49,24.04,15.16541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-23,0,16.6,30.56,32.35,20.14,25.47541667,,Aceptable,Deseable,Aceptable,Aceptable,Deseable
2018-03-24,0,17.64,18.58,28.09,14.77,18.3575,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-25,5.193,15.05,6.1,9.96,10.98,14.70875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-26,1.142,20.83,29.54,21.39,18.26,21.82,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-27,4.972,20.87,52.73,18.81,24.49,25.40208333,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-03-28,0.88,24.59,11.81,11.71,18.65,23.29541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-29,0,23.48,37.28,19.25,13.25,22.65625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-30,0.205,13.4,20.14,17.63,13.9,16.21666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-31,0,17.3,11.03,13.1,14.38,12.01333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-01,0,3.94,5.95,5.1,15.11,9.18625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-02,0,11.82,15.32,11.26,30.07,13.50916667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-03,0,12.35,34.24,13.1,24.44,19.46541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-04,0,10.37,25.41,3.54,14.64,14.42291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-05,0,13.9,31.11,7.51,19.19,16.86458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-06,0,4.62,23.87,10.35,19.29,13.45916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-07,0,12.62,21.99,12.14,11.88,18.83208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-08,0.012,16.99,12.95,19.21,13.88,14.70583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-09,0,9.12,17.96,15.2,15.48,14.29458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-10,0,10.91,16.47,7.85,17.74,13.23833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-11,0,35.61,33.88,27.84,25.24,22.73916667,,Deseable,Aceptable,Aceptable,Aceptable,Aceptable
2018-04-12,1.352,12.31,10.65,16.99,17.44,18.30291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-13,0,15.85,19.75,12.81,23.36,17.53791667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-14,1.306,11.36,12.52,20.33,24.07,13.82541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-15,0.125,7.65,3.97,3.76,13.83,11.58125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-16,0,16.33,25.95,18.38,17.25,17.30666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-17,0.7,14.51,29.28,19.76,19.92,15.64833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-18,0.005,14.58,23.19,12.9,14.47,14.61041667,,Deseable,Deseable,Deseable,Deseable,Deseable
