Fecha,TMP,PM25,AOD_mean,IQCA
2022-08-31,15.179166666666667,19.810416666666665,477.704,Deseable
2022-09-01,15.664583333333333,20.6925,31.046,Deseable
2022-09-02,16.404166666666665,21.40625,382.126,Deseable
2022-09-03,16.907500000000002,19.47833333333333,,Deseable
2022-09-04,16.829583333333336,8.745833333333334,,Deseable
2022-09-05,15.556666666666668,25.8175,,Aceptable
2022-09-06,15.513333333333334,29.405833333333334,,Aceptable
2022-09-07,15.645833333333334,22.5225,,Deseable
2022-09-08,16.34875,20.77526315789473,80.334,Deseable
2022-09-09,16.264166666666664,17.557391304347824,122.696,Deseable
2022-09-10,17.456666666666667,17.015,13.0,Deseable
2022-09-11,16.502083333333335,10.067916666666669,,Deseable
2022-09-12,15.804166666666667,17.662499999999998,3.904,Deseable
2022-09-13,15.105416666666663,21.069166666666664,145.194,Deseable
2022-09-14,15.605833333333337,18.27208333333333,271.904,Deseable
2022-09-15,16.478333333333335,15.975416666666666,287.774,Deseable
2022-09-16,15.371666666666668,10.99125,,Deseable
2022-09-17,15.1125,22.21375,,Deseable
2022-09-18,16.132916666666667,15.554583333333332,206.0,Deseable
2022-09-19,14.976666666666668,16.31625,48.973,Deseable
2022-09-20,16.12125,19.68958333333333,,Deseable
2022-09-21,15.867916666666666,23.146666666666665,545.756,Deseable
2022-09-22,14.87625,19.41625,169.021,Deseable
2022-09-23,15.8775,18.85458333333333,213.3,Deseable
2022-09-24,15.087916666666668,19.420416666666668,,Deseable
2022-09-25,15.689583333333331,30.05375,606.679,Aceptable
2022-09-26,15.720833333333331,17.16208333333333,154.289,Deseable
2022-09-27,16.353333333333335,20.9075,230.0,Deseable
2022-09-28,15.305,28.121666666666663,519.292,Aceptable
2022-09-29,15.277500000000002,27.230416666666667,,Aceptable
2022-09-30,14.900416666666668,19.01833333333333,281.83,Deseable
2022-10-01,16.212500000000002,13.89875,480.425,Deseable
2022-10-02,17.015833333333333,10.93125,,Deseable
2022-10-03,17.039583333333333,14.28,239.374,Deseable
2022-10-04,14.891666666666666,23.40083333333333,,Deseable
2022-10-05,15.235833333333334,20.12708333333333,270.273,Deseable
2022-10-06,15.17375,27.68875,,Aceptable
2022-10-07,14.9075,30.97625,,Aceptable
2022-10-08,15.155,24.44875,,Deseable
2022-10-09,15.572916666666666,17.655833333333334,453.335,Deseable
2022-10-10,15.72125,14.043333333333337,,Deseable
2022-10-11,15.837083333333332,15.135416666666666,,Deseable
2022-10-12,14.785416666666668,19.508333333333333,,Deseable
2022-10-13,14.57875,25.570833333333336,,Aceptable
2022-10-14,15.725,28.016666666666666,,Aceptable
2022-10-15,14.7375,12.82125,,Deseable
2022-10-16,14.738333333333332,18.135416666666668,,Deseable
2022-10-17,14.936666666666667,13.531666666666666,,Deseable
2022-10-18,14.995416666666666,15.732916666666666,,Deseable
2022-10-19,14.831666666666663,14.315,,Deseable
2022-10-20,14.55625,11.882916666666668,,Deseable
2022-10-21,15.871666666666668,11.433333333333332,,Deseable
2022-10-22,15.919583333333334,10.629583333333334,,Deseable
2022-10-23,16.328333333333333,11.825,,Deseable
2022-10-24,15.350833333333334,13.785000000000002,,Deseable
2022-10-25,15.92,15.573750000000002,,Deseable
2022-10-26,15.485416666666666,13.09125,,Deseable
2022-10-27,15.804166666666667,12.341666666666669,437.03,Deseable
2022-10-28,15.165833333333332,16.770833333333332,,Deseable
2022-10-29,16.514166666666664,16.037499999999998,197.167,Deseable
2022-10-30,16.39375,14.41875,261.365,Deseable
2022-10-31,15.952916666666669,14.195833333333333,168.148,Deseable
2022-11-01,16.387826086956522,18.36,413.974,Deseable
2022-11-02,16.048333333333336,26.497727272727275,,Aceptable
2022-11-03,15.726666666666668,11.082083333333337,488.613,Deseable
2022-11-04,15.13,14.613333333333337,580.923,Deseable
2022-11-05,14.9375,17.135833333333334,357.043,Deseable
2022-11-06,16.138333333333332,21.33125,,Deseable
2022-11-07,15.435833333333331,18.35608695652174,227.151,Deseable
2022-11-08,16.4975,16.247083333333332,544.778,Deseable
2022-11-09,16.330000000000002,20.54833333333333,,Deseable
2022-11-10,15.47125,16.500416666666666,,Deseable
2022-11-11,16.106666666666666,21.5775,,Deseable
2022-11-12,14.929166666666667,25.25958333333333,,Aceptable
2022-11-13,14.862916666666663,22.832916666666662,,Deseable
2022-11-14,15.731666666666667,22.422083333333333,354.686,Deseable
2022-11-15,16.28291666666667,22.98625,549.857,Deseable
2022-11-16,16.6025,14.090416666666668,,Deseable
2022-11-17,15.41375,13.431666666666668,,Deseable
2022-11-18,16.105416666666667,22.093333333333334,454.466,Deseable
2022-11-19,16.237916666666667,27.834166666666665,304.335,Aceptable
2022-11-20,16.109166666666667,23.04875,,Deseable
2022-11-21,14.885416666666666,16.500416666666666,,Deseable
2022-11-22,16.184583333333332,22.18958333333333,,Deseable
2022-11-23,15.225416666666666,23.442083333333333,,Deseable
2022-11-24,15.630416666666669,18.937083333333334,130.833,Deseable
2022-11-25,16.011666666666667,25.482916666666668,,Aceptable
2022-11-26,15.730416666666663,25.43958333333333,500.97,Aceptable
2022-11-27,14.71875,19.75,354.902,Deseable
2022-11-28,15.035416666666668,22.83458333333333,,Deseable
2022-11-29,15.397916666666667,30.625833333333333,498.652,Aceptable
2022-11-30,16.445,22.03708333333333,314.531,Deseable
2022-12-01,15.885416666666666,18.93083333333333,323.649,Deseable
2022-12-02,15.386666666666668,12.03125,,Deseable
2022-12-03,15.317083333333334,11.609583333333331,408.257,Deseable
2022-12-04,15.359166666666669,17.112916666666667,519.937,Deseable
2022-12-05,14.554166666666667,20.209166666666665,239.287,Deseable
2022-12-06,15.38,26.939166666666665,281.036,Aceptable
2022-12-07,15.702222222222222,29.39833333333333,,Aceptable
2022-12-08,15.160833333333334,21.078333333333333,186.276,Deseable
2022-12-09,16.015416666666667,18.883333333333333,546.0,Deseable
2022-12-10,15.799166666666666,17.790833333333335,,Deseable
2022-12-11,15.566666666666668,15.147083333333333,,Deseable
2022-12-12,16.224999999999998,14.954166666666666,464.942,Deseable
2022-12-13,16.17833333333333,14.897083333333333,375.879,Deseable
2022-12-14,15.661666666666669,15.591666666666669,380.709,Deseable
2022-12-15,16.205416666666668,19.330416666666668,458.333,Deseable
2022-12-16,16.445,15.856666666666667,443.987,Deseable
2022-12-17,16.062083333333334,13.715833333333334,,Deseable
2022-12-18,15.077083333333334,18.070833333333333,448.236,Deseable
2022-12-19,16.436666666666667,16.137916666666666,301.231,Deseable
2022-12-20,16.694583333333334,18.19875,272.608,Deseable
2022-12-21,16.76625,20.76333333333333,373.406,Deseable
2022-12-22,16.800833333333333,20.371666666666663,438.986,Deseable
2022-12-23,16.047083333333333,18.945833333333333,244.53,Deseable
2022-12-24,16.228333333333335,17.260833333333334,406.065,Deseable
2022-12-25,16.195833333333333,13.779166666666669,486.481,Deseable
2022-12-26,14.52375,11.892083333333334,,Deseable
2022-12-27,15.702916666666669,15.030833333333334,488.068,Deseable
2022-12-28,15.30125,21.20958333333333,311.453,Deseable
2022-12-29,16.30333333333333,22.05333333333333,335.719,Deseable
2022-12-30,14.912916666666668,18.300833333333333,,Deseable
2022-12-31,14.485,19.7325,,Deseable
2023-01-01,14.5675,18.31,,Deseable
2023-01-02,13.98625,8.449166666666667,,Deseable
2023-01-03,14.324583333333337,22.391666666666666,,Deseable
2023-01-04,15.50625,20.564166666666665,308.712,Deseable
2023-01-05,15.32,25.424166666666665,,Aceptable
2023-01-06,15.396666666666668,21.434166666666663,,Deseable
2023-01-07,15.619583333333331,22.15041666666667,,Deseable
2023-01-08,15.545833333333334,13.74125,697.754,Deseable
2023-01-09,14.169583333333334,14.547083333333331,,Deseable
2023-01-10,13.96,12.57875,543.0,Deseable
2023-01-11,13.394166666666663,11.378,540.252,Deseable
2023-01-12,13.978333333333332,19.785652173913043,,Deseable
2023-01-13,14.605833333333337,21.48875,408.267,Deseable
2023-01-14,14.405416666666667,11.45,,Deseable
2023-01-15,14.505,20.409166666666668,,Deseable
2023-01-16,15.89375,18.84708333333333,558.04,Deseable
2023-01-17,16.143333333333334,16.778333333333332,,Deseable
2023-01-18,15.11625,14.257916666666668,393.442,Deseable
2023-01-19,14.252083333333331,14.72875,,Deseable
2023-01-20,15.070416666666668,17.542083333333334,,Deseable
2023-01-21,15.12625,17.545833333333334,,Deseable
2023-01-22,15.387083333333337,12.147083333333333,535.855,Deseable
2023-01-23,15.864583333333334,13.230833333333337,221.881,Deseable
2023-01-24,16.037916666666668,12.78125,509.0,Deseable
2023-01-25,16.30875,18.58791666666667,278.868,Deseable
2023-01-26,16.214166666666667,16.383333333333333,,Deseable
2023-01-27,16.445,14.38875,214.115,Deseable
2023-01-28,16.823333333333334,16.267083333333336,188.365,Deseable
2023-01-29,16.495,13.819583333333334,149.44,Deseable
2023-01-30,16.1225,13.79875,373.717,Deseable
2023-01-31,15.5075,19.75166666666667,,Deseable
2023-02-01,15.081666666666669,22.17875,,Deseable
2023-02-02,16.4025,21.0825,,Deseable
2023-02-03,16.19,17.549583333333334,247.94,Deseable
2023-02-04,16.599999999999998,17.191666666666666,229.234,Deseable
2023-02-05,16.743750000000002,16.807916666666667,,Deseable
2023-02-06,17.11375,13.098333333333334,,Deseable
2023-02-07,16.829583333333336,14.11125,451.524,Deseable
2023-02-08,16.23,20.91333333333333,285.321,Deseable
2023-02-09,15.95875,22.874166666666667,,Deseable
2023-02-10,16.049166666666668,21.56125,,Deseable
2023-02-11,16.422916666666666,26.852500000000003,,Aceptable
2023-02-12,16.781666666666666,17.491249999999997,,Deseable
2023-02-13,16.854166666666668,13.417083333333332,,Deseable
2023-02-14,16.3475,17.360833333333332,,Deseable
2023-02-15,17.359473684210524,16.70842105263158,,Deseable
2023-02-16,16.470833333333335,17.424166666666668,456.161,Deseable
2023-02-17,16.43583333333333,16.462500000000002,562.372,Deseable
2023-02-18,15.99,10.502916666666666,547.316,Deseable
2023-02-19,16.95,15.816249999999998,,Deseable
2023-02-20,16.003333333333334,14.762083333333337,287.848,Deseable
2023-02-21,14.89375,14.680416666666666,,Deseable
2023-02-22,14.71,9.6925,,Deseable
2023-02-23,15.787916666666666,17.6875,,Deseable
2023-02-24,16.91875,20.33625,274.224,Deseable
2023-02-25,16.892916666666668,18.09708333333333,137.043,Deseable
2023-02-26,17.14625,20.66333333333333,541.583,Deseable
2023-02-27,17.355,20.575416666666666,864.332,Deseable
2023-02-28,17.531666666666666,18.011666666666667,,Deseable
2023-03-01,17.701249999999998,16.5025,394.646,Deseable
2023-03-02,16.610833333333336,18.11458333333333,,Deseable
2023-03-03,17.150000000000002,17.81083333333333,396.385,Deseable
2023-03-04,16.923333333333336,15.4,,Deseable
2023-03-05,16.917083333333334,13.291666666666666,,Deseable
2023-03-06,15.972083333333332,10.942083333333334,,Deseable
2023-03-07,15.015,11.523333333333332,,Deseable
2023-03-08,14.6325,10.2425,,Deseable
2023-03-09,13.662916666666668,11.044583333333334,,Deseable
2023-03-10,14.609583333333331,10.617083333333332,,Deseable
