Unnamed: 0,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco,Category,Period,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
SO2,0.1569188625691301,0.0033041919234587,0.0814559499542977,0.0180001362789777,-0.2471063147140267,0.4668467195615203,0.3670994786351816,,,Max,Seasonal,,,,,,,,,
TMP,0.5167876276438351,0.4130493193800789,0.0411898668256136,0.1816124229493099,0.31989109445076,0.4155922770467268,0.0425506743207242,-0.2680478019862687,-0.2380100770971996,Max,Seasonal,,,,,,,,,
VEL,-0.1949871282715682,-0.0607644474361179,0.3826310166042471,0.3756303777606412,-0.0927084927394485,0.6561822890293911,0.3080676024298651,0.1028841768981394,0.0132285686505419,Max,Seasonal,,,,,,,,,
CO,-0.1802256577849156,0.2550772187020131,-0.474717950559936,-0.0615418284892066,0.2100126704472258,0.1756050559850057,0.4756511060762057,,-0.1885646399623588,Max,Seasonal,,,,,,,,,
DIR,0.4465583295940314,-0.0731597241929499,-0.0356761757758727,0.0356447393952451,-0.1359641274238827,0.3234095028765856,0.7924305410278586,0.1655632673348889,0.6463563926428596,Max,Seasonal,,,,,,,,,
HUM,-0.157102508360683,-0.0529881366298179,-0.2409699032115245,-0.212789200545673,0.0956220891463874,0.2814197588675553,0.1177470921944414,,0.0782213678031475,Max,Seasonal,,,,,,,,,
LLU,0.0893214015896466,-0.1397133984276229,0.2523943669244249,-0.020468040296041,-0.0976902101217021,0.4191120298864839,0.3404733328272812,-0.3021504022476752,0.5570943881027061,Max,Seasonal,,,,,,,,,
NO2,0.0058001479813965,0.030335724329495,0.0503484997895267,0.0681488567289433,0.0438735246470303,-0.0696434020877744,0.0402829332979949,,0.034503891697589,Max,Weekly,,,,,,,,,
O3,-0.0895338722202727,0.0201086795073676,-0.0116201035830325,-0.0551727592195104,-0.0691217338318309,-0.1112843720918427,0.0963007727664545,-0.0235750970556147,0.0304788561065555,Max,Weekly,,,,,,,,,
PM25,0.0070076427738306,-0.0130687542486688,0.188773820932474,0.0541134154044112,0.0859263186409597,-0.0326235747205272,0.004071733611809,-0.0137783148056044,0.0634019572203238,Max,Weekly,,,,,,,,,
PRE,0.0075682856255899,0.039155937560006,0.0198091544662693,-0.0267612665637915,0.0556966313752837,0.0667180745523024,0.0650685868002309,0.0595646508469974,-0.0284213309454698,Max,Weekly,,,,,,,,,
RS,0.0725617730773175,0.0030875348155331,-0.0480620433484237,0.0230889670827657,0.0361896379110014,0.0431242212942827,0.0338535677440232,-0.0032512394176523,0.0433138907352701,Max,Weekly,,,,,,,,,
SO2,0.0738251364920002,0.0650991474943209,0.0461200556535093,0.0860562044408461,-0.067448917540033,-0.0078317412219713,-0.015439728835015,,,Max,Weekly,,,,,,,,,
TMP,0.0988784419665535,0.0853644991716631,-0.1160910859799695,0.0498110594360295,0.0395970457938428,-0.0734464139290477,0.0212457646040867,0.0417458141048133,0.0681341776564207,Max,Weekly,,,,,,,,,
