Fecha,Belisario,IQCA_Belisario,Belisario_AOD,Carapungo_AOD,Carapungo,IQCA_Carapungo,Centro_AOD,Centro,IQCA_Centro,Cotocollao_AOD,Cotocollao,IQCA_Cotocollao,ElCamal_AOD,ElCamal,IQCA_ElCamal,Guamani_AOD,Guamani,IQCA_Guamani,LosChillos_AOD,LosChillos,IQCA_LosChillos,SanAntonio_AOD,SanAntonio,IQCA_SanAntonio,Tumbaco_AOD,Tumbaco,IQCA_Tumbaco
2004-10-21,19.14708333333333,Deseable,542.142,624.32,,Incorrecto,,10.803333333333333,Deseable,467.846,,Incorrecto,,16.406521739130437,Deseable,510.0,,Incorrecto,,,Incorrecto,545.816,,Incorrecto,523.321,,Incorrecto
2004-10-22,20.425416666666667,Deseable,,,,Incorrecto,,15.814583333333331,Deseable,,,Incorrecto,,20.28782608695652,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-23,17.87,Deseable,,,,Incorrecto,,15.144583333333337,Deseable,,,Incorrecto,,21.285,Deseable,458.424,,Incorrecto,478.275,,Incorrecto,,,Incorrecto,493.123,,Incorrecto
2004-10-24,14.062083333333334,Deseable,,378.391,,Incorrecto,,10.342083333333331,Deseable,409.0,,Incorrecto,,17.495,Deseable,,,Incorrecto,,,Incorrecto,298.347,,Incorrecto,,,Incorrecto
2004-10-25,17.175833333333333,Deseable,,,,Incorrecto,,14.030416666666667,Deseable,,,Incorrecto,,16.99681818181818,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-26,22.25818181818181,Deseable,,,,Incorrecto,,24.52208333333333,Deseable,,,Incorrecto,,39.88913043478261,Aceptable,,,Incorrecto,,,Incorrecto,422.0,,Incorrecto,,,Incorrecto
2004-10-27,26.62,Aceptable,,,,Incorrecto,,19.80208333333333,Deseable,,,Incorrecto,,24.45833333333333,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-28,27.67875,Aceptable,,,,Incorrecto,,25.977,Aceptable,,,Incorrecto,,29.337083333333336,Aceptable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-29,24.73208333333333,Deseable,528.0,437.905,,Incorrecto,,16.835833333333333,Deseable,462.306,,Incorrecto,,27.464782608695653,Aceptable,,,Incorrecto,,,Incorrecto,391.178,,Incorrecto,,,Incorrecto
2004-10-30,21.1325,Deseable,432.761,514.713,,Incorrecto,505.943,23.701666666666668,Deseable,416.643,,Incorrecto,585.043,37.74208333333333,Aceptable,520.458,,Incorrecto,604.255,,Incorrecto,438.182,,Incorrecto,677.341,,Incorrecto
2004-10-31,16.495416666666667,Deseable,384.015,368.417,,Incorrecto,429.145,16.298750000000002,Deseable,383.313,,Incorrecto,535.182,20.69083333333333,Deseable,347.142,,Incorrecto,456.35,,Incorrecto,340.881,,Incorrecto,346.796,,Incorrecto
2004-11-01,14.386666666666668,Deseable,344.354,362.828,,Incorrecto,365.0,12.555416666666666,Deseable,376.632,,Incorrecto,,15.949583333333337,Deseable,,,Incorrecto,,,Incorrecto,357.039,,Incorrecto,351.991,,Incorrecto
2004-11-02,15.430833333333332,Deseable,258.919,361.929,,Incorrecto,259.2,10.577083333333333,Deseable,275.609,,Incorrecto,318.525,13.82125,Deseable,267.74,,Incorrecto,266.139,,Incorrecto,356.643,,Incorrecto,207.88,,Incorrecto
2004-11-03,11.543333333333337,Deseable,,,,Incorrecto,,7.53,Deseable,,,Incorrecto,,10.402916666666668,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-04,17.402083333333334,Deseable,389.535,,,Incorrecto,404.92,13.534166666666666,Deseable,,,Incorrecto,400.306,19.17833333333333,Deseable,,,Incorrecto,406.693,,Incorrecto,498.071,,Incorrecto,,,Incorrecto
2004-11-05,21.91625,Deseable,,,,Incorrecto,,17.749166666666667,Deseable,,,Incorrecto,,24.773043478260867,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-06,23.32086956521739,Deseable,470.0,475.968,,Incorrecto,550.733,24.57208333333333,Deseable,479.793,,Incorrecto,559.556,35.468333333333334,Aceptable,,,Incorrecto,569.286,,Incorrecto,530.636,,Incorrecto,472.629,,Incorrecto
2004-11-07,17.768333333333334,Deseable,543.326,,,Incorrecto,515.952,20.45875,Deseable,,,Incorrecto,477.387,32.28130434782609,Aceptable,488.172,,Incorrecto,425.659,,Incorrecto,,,Incorrecto,451.932,,Incorrecto
2004-11-08,17.229,Deseable,577.0,584.0,,Incorrecto,506.033,16.585,Deseable,508.17,,Incorrecto,501.446,20.786521739130432,Deseable,,,Incorrecto,482.761,,Incorrecto,,,Incorrecto,456.056,,Incorrecto
2004-11-09,23.92875,Deseable,,,,Incorrecto,,16.798750000000002,Deseable,,,Incorrecto,,24.10125,Deseable,,,Incorrecto,522.855,,Incorrecto,392.22,,Incorrecto,574.616,,Incorrecto
2004-11-10,21.51636363636364,Deseable,,,,Incorrecto,,13.875833333333333,Deseable,,,Incorrecto,,18.97875,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-11,18.503913043478263,Deseable,323.752,351.169,,Incorrecto,461.904,11.349583333333332,Deseable,316.139,,Incorrecto,445.988,15.195416666666668,Deseable,,,Incorrecto,368.979,,Incorrecto,350.431,,Incorrecto,335.293,,Incorrecto
2004-11-12,20.67625,Deseable,,,,Incorrecto,,20.996666666666663,Deseable,,,Incorrecto,,33.12173913043478,Aceptable,,,Incorrecto,,,Incorrecto,543.0,,Incorrecto,,,Incorrecto
2004-11-13,19.7075,Deseable,289.023,257.602,,Incorrecto,308.0,18.54,Deseable,249.603,,Incorrecto,395.0,27.69913043478261,Aceptable,325.593,,Incorrecto,398.17,,Incorrecto,229.691,,Incorrecto,355.305,,Incorrecto
2004-11-14,16.992083333333333,Deseable,,307.895,,Incorrecto,467.562,13.094166666666666,Deseable,318.833,,Incorrecto,442.266,22.02416666666667,Deseable,384.796,,Incorrecto,401.331,,Incorrecto,396.845,,Incorrecto,475.015,,Incorrecto
2004-11-15,16.724166666666665,Deseable,,,,Incorrecto,,13.310416666666669,Deseable,,,Incorrecto,495.177,20.03869565217392,Deseable,451.86,,Incorrecto,484.451,,Incorrecto,337.858,,Incorrecto,,,Incorrecto
2004-11-16,19.00625,Deseable,373.74,348.514,,Incorrecto,401.849,15.344583333333333,Deseable,409.313,,Incorrecto,381.23,24.46869565217392,Deseable,344.019,,Incorrecto,302.66,,Incorrecto,521.579,,Incorrecto,353.917,,Incorrecto
2004-11-17,21.45833333333333,Deseable,559.896,497.275,,Incorrecto,588.306,17.70875,Deseable,512.764,,Incorrecto,590.667,22.035833333333333,Deseable,,,Incorrecto,592.0,,Incorrecto,461.469,,Incorrecto,542.814,,Incorrecto
2004-11-18,23.471666666666668,Deseable,,,,Incorrecto,,17.229166666666668,Deseable,,,Incorrecto,,29.5375,Aceptable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-19,25.1575,Aceptable,,,,Incorrecto,,22.902083333333334,Deseable,,,Incorrecto,,52.568260869565215,Precaucion,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-20,16.978421052631578,Deseable,317.167,331.825,,Incorrecto,338.745,17.182083333333335,Deseable,313.385,,Incorrecto,403.092,28.37291666666667,Aceptable,348.896,,Incorrecto,341.185,,Incorrecto,319.032,,Incorrecto,287.884,,Incorrecto
2004-11-21,12.5175,Deseable,276.979,314.625,,Incorrecto,320.099,9.25125,Deseable,268.849,,Incorrecto,339.994,14.007083333333334,Deseable,470.622,,Incorrecto,313.733,,Incorrecto,386.993,,Incorrecto,311.792,,Incorrecto
