Archivo,Columna,Media,Desviación estándar,Mínimo,Máximo,Percentil 50,Percentil 75,Percentil 99
Guamani.csv,HUM,69.24196969696969,10.650863345721293,40.79,88.35,70.65,78.8425,87.7011
Guamani.csv,LLU,2.7535353535353537,5.353793913220908,0.0,27.0,0.0,2.6,23.933
Guamani.csv,AOD,0.3558188888888889,0.11174094353326053,0.11219,0.60954,0.33945500000000006,0.451375,0.58154
Cotocollao.csv,NO2,16.126279069767442,10.304274661577018,2.14,39.95,15.56,20.42,39.0092
Cotocollao.csv,O3,23.2153488372093,6.654762830319067,6.02,40.04,24.07,27.54,37.67959999999999
Cotocollao.csv,PM25,15.921395348837212,4.517439530464843,7.74,29.57,15.99,18.439999999999998,27.04999999999999
Cotocollao.csv,PRE,730.3795348837209,0.7796456871962311,728.07,731.58,730.57,731.0,731.559
Cotocollao.csv,RS,256.2127906976744,42.04154721256793,158.85,334.0,256.49,287.13,327.3934
Cotocollao.csv,SO2,2.4165116279069765,1.0221217048979427,0.59,6.25,2.37,2.95,5.367999999999997
Cotocollao.csv,TMP,14.679767441860463,0.8826812194134441,13.04,17.06,14.61,14.969999999999999,16.9466
Cotocollao.csv,VEL,1.796744186046512,0.7424596218946621,1.09,4.62,1.59,1.78,4.4814
Cotocollao.csv,CO,0.6702325581395349,0.17340412984719253,0.37,1.14,0.65,0.775,1.1358
Cotocollao.csv,DIR,167.3120930232558,29.823298143927957,99.67,248.42,168.63,185.52,235.45039999999995
Cotocollao.csv,HUM,67.94255813953488,10.932375704219371,42.95,81.74,72.82,76.99000000000001,81.2234
Cotocollao.csv,LLU,1.558139534883721,3.4477206105828624,0.0,14.1,0.0,0.8,13.847999999999999
Cotocollao.csv,AOD,0.3815732558139535,0.11490768109600669,0.19184,0.64325,0.378,0.46234,0.6083395999999999
Belisario.csv,NO2,22.834532019704433,8.852984905406526,4.58,46.23,22.56,27.630000000000003,42.668800000000005
Belisario.csv,O3,27.913004926108375,9.994532234631324,9.73,77.81,25.65,32.6,60.669399999999975
Belisario.csv,PM25,12.989211822660097,4.454143845398696,4.59,26.1,12.98,16.03,23.104999999999997
Belisario.csv,PRE,726.2886699507388,0.8717597455116627,723.73,728.26,726.28,726.9,727.9590000000001
Belisario.csv,RS,235.1754679802956,44.48178432555129,115.0,324.87,233.91,267.29499999999996,318.33
Belisario.csv,SO2,2.6432019704433496,1.2589749459189181,0.57,15.13,2.47,3.105,5.398199999999999
Belisario.csv,TMP,14.640837438423645,0.9298508281180489,12.76,17.39,14.48,15.3,16.7686
Belisario.csv,VEL,1.4040886699507389,0.489797424300284,0.81,3.5,1.26,1.5150000000000001,2.878399999999999
Belisario.csv,CO,0.5783743842364532,0.2121269415717492,0.12,1.21,0.59,0.71,1.1493999999999995
Belisario.csv,DIR,155.2816748768473,31.656867979163817,77.26,243.53,159.79,177.395,217.65859999999995
Belisario.csv,HUM,66.12536945812808,11.80175424267126,37.97,86.08,68.55,75.465,85.0504
Belisario.csv,LLU,2.4443349753694585,5.603058299096811,0.0,31.0,0.0,1.1,23.289999999999996
Belisario.csv,AOD,0.3569251724137931,0.1118495515791647,0.08791,0.5799,0.36007,0.43671000000000004,0.5702558
Centro.csv,NO2,22.946280193236717,8.391365776261546,3.74,45.9,22.93,27.82,43.980599999999995
Centro.csv,O3,26.519130434782614,10.156968061929678,10.42,72.81,24.97,31.814999999999998,59.38499999999999
Centro.csv,PM25,13.46743961352657,5.003625745103636,4.34,31.22,13.17,16.025,28.304799999999997
Centro.csv,PRE,727.0333333333334,0.8958984209063716,724.46,728.92,727.02,727.595,728.8694
Centro.csv,RS,237.51685990338166,45.26330599081493,144.87,338.11,236.27,271.345,335.7516
Centro.csv,SO2,2.8533333333333326,1.117464623362198,0.07,7.22,2.7,3.4450000000000003,6.771
Centro.csv,TMP,15.0987922705314,0.922328727668022,12.89,17.81,15.19,15.715,17.176599999999997
Centro.csv,VEL,1.634830917874396,0.463354008606672,0.19,3.59,1.53,1.85,2.8294
Centro.csv,CO,0.606425120772947,0.1976924475843801,0.15,1.61,0.61,0.725,1.0194
Centro.csv,DIR,146.0408695652174,32.34135714166087,63.95,225.66,145.95,170.515,207.79520000000002
Centro.csv,HUM,62.11840579710145,11.930389965450972,39.06,83.73,63.57,72.25,82.8266
Centro.csv,LLU,2.365217391304348,5.647522682779739,0.0,28.5,0.0,0.7,23.97
Centro.csv,AOD,0.36953628019323675,0.12133887696963083,0.08909,0.8537,0.367,0.46752,0.5879664
LosChillos.csv,NO2,17.286416184971102,5.625396305437058,2.62,39.24,17.48,20.96,27.8428
LosChillos.csv,O3,25.900751445086705,7.173662261774025,11.34,50.87,25.36,30.26,45.60000000000001
LosChillos.csv,PM25,12.956416184971095,3.424030144498467,6.05,23.99,12.85,15.0,22.439200000000003
LosChillos.csv,PRE,759.5236416184972,0.9077867468699419,756.76,761.49,759.57,760.14,761.3288
LosChillos.csv,RS,240.6376300578035,43.71215063957349,150.02,328.21,240.8,275.15,321.7484
LosChillos.csv,SO2,4.351849710982659,2.033182303584082,1.23,18.02,4.03,4.96,11.709600000000009
LosChillos.csv,TMP,16.656242774566472,0.9225982578397826,14.68,19.37,16.61,17.38,18.6496
LosChillos.csv,VEL,1.3595953757225432,0.39025685993032555,0.56,3.28,1.29,1.59,2.438800000000001
LosChillos.csv,CO,0.6145664739884392,0.12540846021193114,0.25,0.93,0.6,0.68,0.8956000000000001
LosChillos.csv,DIR,166.2986705202312,42.77904557916255,89.27,286.85,163.86,193.19,271.8916
LosChillos.csv,HUM,66.29757225433526,10.127297436834244,43.74,84.19,68.03,74.72,83.0048
LosChillos.csv,LLU,3.830057803468208,10.539632760090345,0.0,88.5,0.0,1.5,40.98400000000002
LosChillos.csv,AOD,0.3548480346820809,0.14399675796842576,0.06643,1.0043900000000001,0.33925,0.47548,0.5871535999999999
ElCamal.csv,NO2,25.262447257383965,7.726523650023173,5.46,48.91,24.74,30.2,42.740399999999994
ElCamal.csv,O3,24.592995780590716,9.92477327004736,10.32,69.9,22.41,28.67,63.37639999999997
ElCamal.csv,PM25,18.385822784810127,5.181877794481099,7.81,44.28,17.97,21.36,31.10279999999997
ElCamal.csv,PRE,725.6943037974683,0.8505855663136516,723.13,727.62,725.68,726.29,727.4656
ElCamal.csv,RS,233.57481012658232,52.46373782039054,31.63,340.02,236.32,268.99,337.61639999999994
ElCamal.csv,SO2,4.859535864978903,2.2257914693478837,0.95,13.64,4.48,6.04,13.085599999999996
ElCamal.csv,TMP,14.721223628691984,0.930489084872272,12.35,17.42,14.72,15.38,16.7476
ElCamal.csv,VEL,1.5048523206751057,0.4357640855645366,0.23,3.81,1.42,1.66,3.0827999999999998
ElCamal.csv,CO,0.7444725738396625,0.20254795489649863,0.31,1.54,0.73,0.86,1.2419999999999993
ElCamal.csv,DIR,147.79586497890293,30.465064887373227,57.78,230.65,150.15,169.36,215.95719999999994
ElCamal.csv,HUM,65.22755274261603,10.365036645546414,42.92,83.15,67.48,74.05,82.4696
ElCamal.csv,LLU,2.740506329113924,6.311266204057366,0.0,46.6,0.0,1.9,29.559999999999945
ElCamal.csv,AOD,0.3821594936708861,0.1376641366394737,0.07532,1.25329,0.38045999999999996,0.4839,0.5963871999999999
