Fecha,Estacion,Nivel,Valor
2022-08-08 20:00:00,Belisario,Precaucion,52.61
2022-08-11 16:00:00,Belisario,Precaucion,53.09
2022-08-11 17:00:00,Belisario,Precaucion,58.95
2022-08-11 18:00:00,Belisario,Precaucion,63.06
2022-08-11 19:00:00,Belisario,Precaucion,58.38
2022-08-11 20:00:00,Belisario,Precaucion,52.07
2022-08-12 15:00:00,Belisario,Precaucion,63.3
2022-08-12 16:00:00,Belisario,Precaucion,81.05
2022-08-12 17:00:00,Belisario,Precaucion,86.4
2022-08-12 18:00:00,Belisario,Precaucion,84.15
2022-08-12 19:00:00,Belisario,Precaucion,78.36
2022-08-12 20:00:00,Belisario,Precaucion,69.08
2022-08-12 21:00:00,Belisario,Precaucion,65.41
2022-08-13 15:00:00,Belisario,Precaucion,71.44
2022-08-13 16:00:00,Belisario,Precaucion,96.21
2022-08-13 17:00:00,Belisario,Precaucion,110.81
2022-08-13 18:00:00,Belisario,Precaucion,104.41
2022-08-13 19:00:00,Belisario,Precaucion,90.36
2022-08-13 20:00:00,Belisario,Precaucion,85.74
2022-08-13 21:00:00,Belisario,Precaucion,74.68
2022-08-13 22:00:00,Belisario,Precaucion,61.7
2022-08-14 14:00:00,Belisario,Precaucion,52.84
2022-08-14 15:00:00,Belisario,Precaucion,60.84
2022-08-14 16:00:00,Belisario,Precaucion,66.84
2022-08-14 17:00:00,Belisario,Precaucion,72.97
2022-08-14 18:00:00,Belisario,Precaucion,77.21
2022-08-14 19:00:00,Belisario,Precaucion,68.29
2022-08-14 20:00:00,Belisario,Precaucion,64.02
2022-08-14 21:00:00,Belisario,Precaucion,53.64
2022-08-15 17:00:00,Belisario,Precaucion,52.86
2022-08-15 18:00:00,Belisario,Precaucion,53.2
2022-08-15 19:00:00,Belisario,Precaucion,52.13
2022-08-15 20:00:00,Belisario,Precaucion,51.24
2022-08-16 16:00:00,Belisario,Precaucion,51.76
2022-08-16 17:00:00,Belisario,Precaucion,58.02
2022-08-16 18:00:00,Belisario,Precaucion,56.36
2022-08-16 19:00:00,Belisario,Precaucion,56.6
2022-08-16 20:00:00,Belisario,Precaucion,53.9
2022-08-17 16:00:00,Belisario,Precaucion,55.32
2022-08-17 17:00:00,Belisario,Precaucion,58.4
2022-08-17 18:00:00,Belisario,Precaucion,58.72
2022-08-17 19:00:00,Belisario,Precaucion,62.81
2022-08-17 20:00:00,Belisario,Precaucion,61.15
2022-08-18 16:00:00,Belisario,Precaucion,65.21
2022-08-18 17:00:00,Belisario,Precaucion,72.44
2022-08-18 18:00:00,Belisario,Precaucion,70.63
2022-08-18 19:00:00,Belisario,Precaucion,66.39
2022-08-18 20:00:00,Belisario,Precaucion,66.56
2022-08-19 18:00:00,Belisario,Precaucion,55.78
2022-08-19 19:00:00,Belisario,Precaucion,56.17
2022-08-20 18:00:00,Belisario,Precaucion,54.66
2022-08-21 14:00:00,Belisario,Precaucion,56.53
2022-08-21 15:00:00,Belisario,Precaucion,62.87
2022-08-21 16:00:00,Belisario,Precaucion,61.96
2022-08-21 17:00:00,Belisario,Precaucion,66.52
2022-08-21 18:00:00,Belisario,Precaucion,67.19
2022-08-21 19:00:00,Belisario,Precaucion,64.84
2022-08-21 20:00:00,Belisario,Precaucion,65.51
2022-08-21 21:00:00,Belisario,Precaucion,61.57
2022-08-21 22:00:00,Belisario,Precaucion,55.97
2022-08-22 14:00:00,Belisario,Precaucion,57.6
2022-08-22 15:00:00,Belisario,Precaucion,69.25
2022-08-22 16:00:00,Belisario,Precaucion,71.32
2022-08-22 17:00:00,Belisario,Precaucion,73.65
2022-08-22 18:00:00,Belisario,Precaucion,72.79
2022-08-22 19:00:00,Belisario,Precaucion,65.24
2022-08-22 20:00:00,Belisario,Precaucion,66.19
2022-08-22 21:00:00,Belisario,Precaucion,58.62
2022-08-22 22:00:00,Belisario,Precaucion,52.06
2022-08-23 03:00:00,Belisario,Precaucion,56.02
2022-08-23 04:00:00,Belisario,Precaucion,62.36
2022-08-23 06:00:00,Belisario,Precaucion,69.1
2022-08-23 07:00:00,Belisario,Precaucion,69.65
2022-08-23 08:00:00,Belisario,Precaucion,70.58
2022-08-23 09:00:00,Belisario,Precaucion,70.09
2022-08-23 10:00:00,Belisario,Precaucion,63.32
2022-08-23 11:00:00,Belisario,Precaucion,51.94
2022-08-23 12:00:00,Belisario,Precaucion,54.67
2022-08-23 13:00:00,Belisario,Precaucion,54.59
2022-08-23 15:00:00,Belisario,Precaucion,68.74
2022-08-23 16:00:00,Belisario,Precaucion,84.28
2022-08-23 17:00:00,Belisario,Precaucion,84.56
2022-08-23 18:00:00,Belisario,Precaucion,88.4
2022-08-23 19:00:00,Belisario,Precaucion,83.39
2022-08-23 20:00:00,Belisario,Precaucion,74.51
2022-08-23 21:00:00,Belisario,Precaucion,72.65
2022-08-23 22:00:00,Belisario,Precaucion,53.58
2022-08-24 08:00:00,Belisario,Precaucion,54.5
2022-08-24 09:00:00,Belisario,Precaucion,56.54
2022-08-24 14:00:00,Belisario,Precaucion,53.32
2022-08-24 15:00:00,Belisario,Precaucion,64.86
2022-08-24 16:00:00,Belisario,Precaucion,76.03
2022-08-24 17:00:00,Belisario,Precaucion,69.54
2022-08-24 18:00:00,Belisario,Precaucion,66.81
2022-08-24 19:00:00,Belisario,Precaucion,67.65
2022-08-24 20:00:00,Belisario,Precaucion,55.44
2022-08-25 15:00:00,Belisario,Precaucion,51.58
2022-08-25 16:00:00,Belisario,Precaucion,62.44
2022-08-25 17:00:00,Belisario,Precaucion,72.87
2022-08-25 18:00:00,Belisario,Precaucion,60.64
2022-08-26 15:00:00,Belisario,Precaucion,55.1
2022-08-26 16:00:00,Belisario,Precaucion,59.69
2022-08-26 17:00:00,Belisario,Precaucion,69.4
2022-08-26 18:00:00,Belisario,Precaucion,77.44
2022-08-26 19:00:00,Belisario,Precaucion,80.67
2022-08-26 20:00:00,Belisario,Precaucion,74.38
2022-08-27 14:00:00,Belisario,Precaucion,57.91
2022-08-27 15:00:00,Belisario,Precaucion,70.38
2022-08-27 16:00:00,Belisario,Precaucion,75.14
2022-08-27 17:00:00,Belisario,Precaucion,77.12
2022-08-27 18:00:00,Belisario,Precaucion,73.39
2022-08-27 19:00:00,Belisario,Precaucion,55.8
2022-08-27 20:00:00,Belisario,Precaucion,53.76
2022-08-27 21:00:00,Belisario,Precaucion,54.38
2022-08-28 14:00:00,Belisario,Precaucion,54.32
2022-08-28 15:00:00,Belisario,Precaucion,71.72
2022-08-28 16:00:00,Belisario,Precaucion,73.16
2022-08-28 17:00:00,Belisario,Precaucion,75.49
2022-08-28 18:00:00,Belisario,Precaucion,70.85
2022-08-28 19:00:00,Belisario,Precaucion,70.9
2022-08-28 20:00:00,Belisario,Precaucion,70.03
2022-08-28 21:00:00,Belisario,Precaucion,60.64
2022-08-29 06:00:00,Belisario,Precaucion,57.75
2022-08-29 07:00:00,Belisario,Precaucion,61.35
2022-08-29 08:00:00,Belisario,Precaucion,52.13
2022-08-29 10:00:00,Belisario,Precaucion,51.78
2022-08-29 14:00:00,Belisario,Precaucion,55.97
2022-09-08 13:00:00,Belisario,Precaucion,51.61
2022-09-22 03:00:00,Belisario,Precaucion,61.55
2022-09-22 13:00:00,Belisario,Precaucion,53.84
2022-09-22 15:00:00,Belisario,Precaucion,51.31
2022-09-30 13:00:00,Belisario,Precaucion,52.2
2022-10-06 13:00:00,Belisario,Precaucion,55.49
2022-10-07 14:00:00,Belisario,Precaucion,67.42
2022-10-07 15:00:00,Belisario,Precaucion,52.45
2022-10-28 14:00:00,Belisario,Precaucion,52.06
2022-11-10 23:00:00,Belisario,Precaucion,53.59
2022-11-17 01:00:00,Belisario,Precaucion,63.26
2022-11-18 04:00:00,Belisario,Precaucion,84.82
2022-11-25 14:00:00,Belisario,Precaucion,51.18
2022-11-29 13:00:00,Belisario,Precaucion,59.53
2022-12-23 15:00:00,Belisario,Precaucion,54.54
2023-01-01 06:00:00,Belisario,Precaucion,78.41
2023-01-01 07:00:00,Belisario,Precaucion,121.59
