Fecha,ElCamal_x,ElCamal_y
2018-12-06,342.279,27.95833333333333
2018-12-07,0,22.57875
2018-12-08,0,20.5775
2018-12-09,312.019,16.715
2018-12-10,527.192,17.94458333333333
2018-12-11,0,25.41
2018-12-12,0,25.34833333333333
2018-12-13,0,20.09625
2018-12-14,527.442,21.25772727272727
2018-12-15,0,22.77416666666666
2018-12-16,450.769,17.8075
2018-12-17,513.863,22.52125
2018-12-18,0,19.17173913043478
2018-12-19,0,23.51541666666667
2018-12-20,0,22.06125
2018-12-21,0,28.41083333333333
2018-12-22,421.174,
2018-12-23,175.936,13.57083333333333
2018-12-24,0,16.27083333333333
2018-12-25,392.547,13.29666666666667
2018-12-26,307.06,16.11833333333333
2018-12-27,0,15.44958333333333
2018-12-28,0,15.74125
2018-12-29,336.322,18.22375
2018-12-30,314.242,14.335
2018-12-31,0,13.4675
2019-01-01,292.218,10.60045454545455
2019-01-02,246.669,13.35041666666667
2019-01-03,387.257,16.47041666666667
2019-01-04,0,14.60791666666667
2019-01-05,397.363,15.56125
2019-01-06,0,18.94458333333333
2019-01-07,515,24.94
2019-01-08,0,16.05791666666667
2019-01-09,430,21.56130434782608
2019-01-10,0,15.3878947368421
2019-01-11,0,18.56625
2019-01-12,563.09,17.95125
2019-01-13,0,14.97
2019-01-14,435.521,18.52916666666667
2019-01-15,496.805,25.59958333333333
2019-01-16,0,27.41666666666667
2019-01-17,0,23.08708333333334
2019-01-18,493.649,26.60772727272727
2019-01-19,0,19.52
2019-01-20,0,11.32875
2019-01-21,333.546,19.1525
2019-01-22,261.521,17.8925
2019-01-23,345.423,15.54913043478261
2019-01-24,340.53,14.47791666666667
2019-01-25,261.668,19.90208333333333
2019-01-26,234.566,18.58333333333333
2019-01-27,351.426,16.79041666666667
2019-01-28,0,16.66958333333333
2019-01-29,0,20.46125
2019-01-30,542.045,20.4
2019-01-31,0,22.2975
2019-02-01,0,19.68041666666667
2019-02-02,494.972,16.78875
2019-02-03,0,14.19791666666667
2019-02-04,0,22.03875
2019-02-05,0,21.38833333333333
2019-02-06,531.487,22.55652173913043
2019-02-07,0,25.19791666666667
2019-02-08,467.87,24.77583333333333
2019-02-09,0,18.13333333333333
2019-02-10,570.245,18.52375
2019-02-11,0,19.63375
2019-02-12,467.489,18.4585
2019-02-13,0,18.32458333333333
2019-02-14,0,21.20434782608696
2019-02-15,572.254,27.64166666666667
2019-02-16,390.605,25.50291666666667
2019-02-17,303.318,22.54041666666667
2019-02-18,0,19.50833333333333
2019-02-19,0,16.64708333333333
2019-02-20,0,22.36375
2019-02-21,0,22.13041666666667
2019-02-22,822.54,20.685
2019-02-23,0,23.84541666666667
2019-02-24,0,11.94875
2019-02-25,0,18.68041666666667
2019-02-26,535.317,23.97416666666667
2019-02-27,0,19.49333333333333
2019-02-28,0,19.77541666666667
2019-03-01,554.581,19.26041666666667
2019-03-02,0,21.35708333333333
2019-03-03,0,22.09958333333333
2019-03-04,0,16.70333333333333
2019-03-05,0,21.9175
2019-03-06,0,25.22541666666666
2019-03-07,0,28.86136363636364
2019-03-08,339.156,25.92708333333333
2019-03-09,0,15.58083333333333
2019-03-10,444.359,13.30625
2019-03-11,0,16.04833333333333
2019-03-12,330.353,21.89083333333333
2019-03-13,0,28.81739130434783
2019-03-14,630.516,22.25625
2019-03-15,0,19.66375
2019-03-16,206.156,19.76708333333334
2019-03-17,531.611,20.30541666666667
2019-03-18,0,24.155
2019-03-19,0,19.725
2019-03-20,0,27.57833333333333
2019-03-21,366.846,22.93958333333333
2019-03-22,0,26.69208333333333
2019-03-23,364.513,38.63583333333333
2019-03-24,582.107,29.21
2019-03-25,0,27.89416666666667
2019-03-26,519.251,22.59583333333333
2019-03-27,0,26.86083333333333
2019-03-28,455.712,22.36625
2019-03-29,0,29.92791666666666
2019-03-30,0,30.60166666666667
2019-03-31,0,18.08083333333333
2019-04-01,0,20.67708333333333
2019-04-02,590,16.40545454545455
2019-04-03,0,27.16625
2019-04-04,0,22.48083333333333
2019-04-05,0,23.70333333333333
2019-04-06,492.335,18.80958333333333
2019-04-07,0,21.11041666666667
2019-04-08,0,23.84608695652174
2019-04-09,268.661,21.83304347826087
2019-04-10,0,21.40541666666667
2019-04-11,349.101,23.92434782608695
2019-04-12,0,22.01391304347826
2019-04-13,310.555,16.05666666666667
2019-04-14,437.051,16.47125
2019-04-15,0,20.01458333333333
2019-04-16,292.139,17.65416666666667
2019-04-17,0,20.53666666666667
2019-04-18,409.364,21.0375
