Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
3/10/2021,,,,,,,,,
3/11/2021,,,,,,,,,
3/12/2021,,,,,,,,,
3/13/2021,,,,,,,,,
3/14/2021,,,,,,,,,
3/15/2021,,,,,,,,,
3/16/2021,,,,,,,,,
3/17/2021,,,,,,,,,
3/18/2021,,,,,,,,,
3/19/2021,,,,,,477.25,,331.146,483.483
3/20/2021,,,,,,,,,
3/21/2021,,,,,,,,,
3/22/2021,,,,,,,,,
3/23/2021,,,,,,,,,
3/24/2021,565,,,392,,,367.488,422.36,
3/25/2021,,522,522,,,474.309,,412.174,
3/26/2021,463.486,437.782,442.052,482.56,413.652,444.901,544.2,669.768,440.997
3/27/2021,,,,,,564.147,621.169,,600.847
3/28/2021,,,,,,576,,,
3/29/2021,,,,,,,,,
3/30/2021,,,,,,,,,
3/31/2021,,,196,,,335.632,,,446
4/1/2021,,,,,,524.701,,,551.12
4/2/2021,362.976,406.935,452.369,245.856,295.461,419.668,274.834,183.162,265.017
4/3/2021,,,,,,,,,
4/4/2021,,,,,,,,,
4/5/2021,,,,,,,,,
4/6/2021,,523.171,484.476,516.073,536.058,551.857,549.105,501.065,457
4/7/2021,474.945,520.269,507.333,544.952,,541.369,518.655,553.418,
4/8/2021,,,,,,,,,
4/9/2021,,,,,,,,,
4/10/2021,,,,,,,,,
4/11/2021,,337.1,344.313,,315.983,433,,,
4/12/2021,,,,,,,,,
4/13/2021,,,,410.813,,,406.951,510.454,
4/14/2021,,,,,,,,412.8,462.514
4/15/2021,,,,,,,,,
4/16/2021,516.478,540.019,468.583,,497,624.436,457.215,460.862,440.27
4/17/2021,,,,,,,,,
4/18/2021,,,,,,,,,
4/19/2021,,,,,,,,,
4/20/2021,321.597,356.312,361.867,283.635,286.146,281.512,307.34,202.88,242.74
4/21/2021,430.662,452.365,445.044,429,443.903,354.002,396.104,197.251,323.813
4/22/2021,343.744,294.63,292.792,309.329,297.162,326.92,300.101,196.88,325.718
4/23/2021,493.508,489,510.037,545.886,506.452,521.211,542.266,530.898,521.725
4/24/2021,,,,,,,,,
4/25/2021,418.525,481.634,519.311,472.725,436.682,521.332,518.125,423.032,550.632
4/26/2021,,,,,,,,,
4/27/2021,474.641,474.598,447.692,,493.413,440.074,456.879,380.016,450.943
4/28/2021,,,,,,,,,
4/29/2021,,,,,,,,,
4/30/2021,,,,,,,,,
5/1/2021,,,,,,,,,
5/2/2021,,,,,,,,,
5/3/2021,,,,,,,,,
5/4/2021,278.131,240.863,240.665,346.405,247.572,257.911,425.761,395.641,432.877
5/5/2021,,,,,,,,,
5/6/2021,290.552,303.907,373.606,407.891,246.395,266.005,325.335,485.439,254.399
5/7/2021,,672.527,734.602,564.477,645.849,600.853,518.851,496.36,462.076
5/8/2021,,,,,,,,,
5/9/2021,274.111,332.14,317.821,398.298,291.785,282.746,446.646,357.119,373.466
5/10/2021,,503.535,480.3,,,396.52,,,
5/11/2021,,407.262,356.395,404.379,396.961,429.49,490.257,598,486.94
5/12/2021,,,,,,,,,
5/13/2021,226.45,239.581,243.943,277.178,231.502,214.646,298.436,318.283,218.869
5/14/2021,,,546.408,,,474.455,530.459,503.333,
5/15/2021,,,,,,,,,
5/16/2021,,,,,,,,,
5/17/2021,,,,,,,,,
5/18/2021,,,,,,,,,
5/19/2021,,,,,,,,,
5/20/2021,273.551,265.454,272.755,232.788,255.344,221.003,253.732,129.696,316.834
5/21/2021,431.937,226.901,270.234,334.312,229.649,375.024,315.221,279.588,257.226
5/22/2021,,394.527,422.548,371.232,364.627,460.986,426.442,598,
5/23/2021,374.595,433.983,365.737,,419,385.037,372.17,357.93,384.927
5/24/2021,,496.091,504.245,,413.528,593,583.475,514.025,
5/25/2021,,,,,,,,,
5/26/2021,,,,,,,,,
5/27/2021,,345.922,,398.815,318.899,364,362.172,387.234,352.823
