Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-06-19 18:00:00,8.85,25.77,0.69,3.93,2.88,12.09,10.09,19.3,8.71
2018-06-20 18:00:00,9.72,19.45,5.05,7.77,6.08,20.03,7.92,6.0,10.07
2018-06-21 18:00:00,10.35,34.28,3.63,10.44,3.72,8.64,13.65,14.7,7.92
2018-06-22 18:00:00,12.84,16.29,5.53,2.91,11.59,30.26,21.37,17.1,22.4
2018-06-23 18:00:00,17.27,25.28,14.49,12.2,8.53,17.61,16.82,9.5,13.25
2018-06-24 18:00:00,10.91,20.37,16.79,11.06,35.44,23.38,11.18,17.8,18.99
2018-06-25 18:00:00,8.96,14.41,5.14,20.36,15.56,23.07,24.79,16.0,8.31
2018-06-26 18:00:00,19.79,14.72,24.93,,25.9,19.44,17.89,15.7,12.77
2018-06-27 18:00:00,13.79,9.05,14.01,7.42,10.72,22.31,15.91,7.9,17.81
2018-06-28 18:00:00,17.98,21.23,19.74,12.6,26.76,27.64,18.24,3.3,23.59
2018-06-29 18:00:00,16.92,15.47,19.62,17.49,10.83,35.48,14.7,12.7,5.34
2018-06-30 18:00:00,19.15,13.62,11.82,9.13,9.58,,12.33,2.9,10.39
2018-07-01 18:00:00,7.41,13.52,9.81,5.59,14.3,11.19,10.13,7.8,12.68
2018-07-02 18:00:00,18.22,21.83,16.1,10.44,7.47,35.26,19.08,20.8,18.98
2018-07-03 18:00:00,14.72,26.13,19.77,8.86,21.95,37.07,17.51,16.9,11.02
2018-07-04 18:00:00,8.81,34.97,11.2,11.37,23.88,22.53,22.32,17.2,10.79
2018-07-05 18:00:00,14.46,31.54,9.17,13.73,14.89,20.27,16.69,35.7,20.16
2018-07-06 18:00:00,9.54,35.78,7.94,10.71,13.35,24.44,2.84,23.9,14.73
2018-07-07 18:00:00,12.67,14.41,10.61,11.02,10.33,21.14,16.62,23.8,10.48
2018-07-08 18:00:00,13.19,12.79,6.01,9.7,15.44,36.16,7.11,11.3,17.86
2018-07-09 18:00:00,13.56,16.11,15.34,10.78,13.75,12.14,14.23,21.5,7.4
2018-07-10 18:00:00,15.52,23.66,15.53,11.79,10.89,31.72,14.12,9.8,23.12
2018-07-11 18:00:00,13.46,12.28,13.36,13.98,7.8,22.06,13.88,7.5,10.28
2018-07-12 18:00:00,17.59,25.12,20.41,6.19,13.24,24.47,9.22,62.8,8.16
2018-07-13 18:00:00,15.18,22.2,11.55,14.52,6.13,8.5,11.04,11.7,12.79
