Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Apr 30, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 1, 2018",0.00,0.07,1.14,0.00,0.00,2.21,0.00,0.00,5.50
"May 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 3, 2018",0.00,6.74,8.76,4.28,4.12,12.44,3.20,7.00,6.82
"May 4, 2018",0.00,5.35,4.39,7.37,0.32,3.29,9.28,4.84,5.74
"May 5, 2018",0.00,5.75,4.30,0.03,3.89,0.00,1.05,2.95,0.00
"May 6, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.08,2.54
"May 7, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 8, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 9, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 10, 2018",0.00,9.09,5.23,1.41,4.27,2.93,0.00,0.40,1.91
"May 11, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 12, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 13, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 14, 2018",0.00,0.57,0.65,0.00,0.00,8.52,0.00,2.22,0.00
"May 15, 2018",2.94,1.72,3.48,7.66,1.58,1.54,6.79,2.57,4.12
"May 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 17, 2018",0.00,1.81,1.34,0.69,1.31,3.53,1.41,0.00,8.25
"May 18, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 19, 2018",3.78,1.08,0.42,0.00,0.00,8.91,0.00,4.54,0.02
"May 20, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 21, 2018",0.00,0.00,0.00,1.06,0.00,0.00,0.00,2.49,0.00
"May 22, 2018",0.00,0.00,0.00,0.01,0.01,0.01,0.40,3.30,3.59
"May 23, 2018",0.00,0.08,3.51,0.00,2.50,0.79,0.00,0.00,0.00
